zip_code,geoid20,boroname,total_population,median_household_income
10028,10028,Manhattan,45679,168125.0
11427,11427,Queens,25124,92129.0
11697,11697,Queens,4123,134844.0
11004,11004,Queens,14296,109865.0
10282,10282,Manhattan,5960,250001.0
10027,10027,Manhattan,65068,64220.0
11432,11432,Queens,63730,75395.0
10452,10452,Bronx,76745,37854.0
10469,10469,Bronx,69855,76018.0
11225,11225,Brooklyn,56544,85201.0
11207,11207,Brooklyn,93445,55419.0
11423,11423,Queens,29105,80870.0
10280,10280,Manhattan,8668,206250.0
10465,10465,Bronx,46457,90255.0
11201,11201,Brooklyn,69251,169285.0
10009,10009,Manhattan,58341,87963.0
11358,11358,Queens,36496,88729.0
10455,10455,Bronx,42940,36701.0
10310,10310,Staten Island,25824,106118.0
10177,10177,Manhattan,0,
10154,10154,Manhattan,0,
11360,11360,Queens,19510,100250.0
11439,11439,Queens,2171,
11366,11366,Queens,12967,117402.0
10308,10308,Staten Island,29996,122654.0
11424,11424,Queens,0,
11210,11210,Brooklyn,60398,83261.0
11109,11109,Queens,7388,198773.0
11430,11430,Queens,448,
10271,10271,Manhattan,0,
10461,10461,Bronx,50900,65023.0
10457,10457,Bronx,79375,44911.0
11238,11238,Brooklyn,58462,132957.0
11216,11216,Brooklyn,59913,95000.0
11373,11373,Queens,99433,71470.0
10463,10463,Bronx,69373,72952.0
11378,11378,Queens,37828,84762.0
10304,10304,Staten Island,45843,71506.0
10040,10040,Manhattan,41581,64022.0
11435,11435,Queens,58424,79430.0
10171,10171,Manhattan,0,
11418,11418,Queens,36304,84927.0
11372,11372,Queens,66995,77133.0
10303,10303,Staten Island,25993,79429.0
10039,10039,Manhattan,30512,48792.0
11219,11219,Brooklyn,94737,55685.0
10458,10458,Bronx,78741,42107.0
11375,11375,Queens,75320,104319.0
11211,11211,Brooklyn,65691,105183.0
10470,10470,Bronx,15558,81134.0
10472,10472,Bronx,63820,43125.0
11415,11415,Queens,21379,88632.0
11104,11104,Queens,26825,84716.0
10037,10037,Manhattan,18333,51250.0
11217,11217,Brooklyn,42569,158314.0
11228,11228,Brooklyn,42325,80737.0
10029,10029,Manhattan,74848,38308.0
11368,11368,Queens,107060,71798.0
11367,11367,Queens,42210,75804.0
11206,11206,Brooklyn,89231,57280.0
10007,10007,Manhattan,7802,250001.0
10456,10456,Bronx,86958,35676.0
11417,11417,Queens,30091,86330.0
11416,11416,Queens,26660,85544.0
11374,11374,Queens,46128,86333.0
11428,11428,Queens,18898,84977.0
11355,11355,Queens,79802,53700.0
10025,10025,Manhattan,93223,109195.0
11103,11103,Queens,35357,92787.0
11414,11414,Queens,31090,98209.0
11419,11419,Queens,46938,91231.0
10019,10019,Manhattan,44276,121835.0
10111,10111,Manhattan,0,
11385,11385,Queens,103865,87365.0
11232,11232,Brooklyn,26681,87517.0
10003,10003,Manhattan,53825,153750.0
10016,10016,Manhattan,54297,153065.0
10152,10152,Manhattan,0,
10153,10153,Manhattan,0,
11364,11364,Queens,36417,101222.0
10020,10020,Manhattan,0,
10115,10115,Manhattan,0,
10311,10311,Staten Island,0,
11451,11451,Queens,0,
11203,11203,Brooklyn,76853,68028.0
10454,10454,Bronx,40368,27500.0
