zip_code,geoid20,boroname,total_population,median_household_income,nearest_tj_distance_ft,nearest_tj_distance_miles
10028,10028,Manhattan,45679,168125.0,6500.867326616737,1.231224872465291
11427,11427,Queens,25124,92129.0,28540.686548878297,5.4054330584996775
11697,11697,Queens,4123,134844.0,52999.85211996266,10.037850780295958
11004,11004,Queens,14296,109865.0,38817.22490476056,7.351747141053136
10282,10282,Manhattan,5960,250001.0,4415.0114598552445,0.8361764128513721
10027,10027,Manhattan,65068,64220.0,2686.4061774943657,0.5087890487678723
11432,11432,Queens,63730,75395.0,15545.00065581864,2.9441289120868634
10452,10452,Bronx,76745,37854.0,12509.723418005053,2.3692657988645935
10469,10469,Bronx,69855,76018.0,35227.71987115549,6.671916642264297
11225,11225,Brooklyn,56544,85201.0,13712.502109573445,2.5970647934798192
11207,11207,Brooklyn,93445,55419.0,17889.715858306987,3.38820376104299
11423,11423,Queens,29105,80870.0,22269.168374383273,4.217645525451378
10280,10280,Manhattan,8668,206250.0,6678.58504127596,1.2648835305446895
10465,10465,Bronx,46457,90255.0,35045.82013301201,6.637465934282577
11201,11201,Brooklyn,69251,169285.0,1947.9209057496923,0.3689244139677448
10009,10009,Manhattan,58341,87963.0,1651.8704090089398,0.312854244130481
11358,11358,Queens,36496,88729.0,19827.79200809446,3.755263637896678
10455,10455,Bronx,42940,36701.0,10672.036454043868,2.0212190253870963
10310,10310,Staten Island,25824,106118.0,20770.808757342198,3.933865294951174
10177,10177,Manhattan,0,,4172.9649085918345,0.7903342629908777
10154,10154,Manhattan,0,,3164.9132919211,0.5994153961971781
11360,11360,Queens,19510,100250.0,27931.311503515164,5.290021118089993
11439,11439,Queens,2171,,14838.040863654927,2.8102350120558572
11366,11366,Queens,12967,117402.0,19003.177720281292,3.599086689447214
10308,10308,Staten Island,29996,122654.0,14028.282501876587,2.656871685961475
11424,11424,Queens,0,,6387.718866889907,1.2097952399412704
11210,11210,Brooklyn,60398,83261.0,25849.243409801937,4.895690039735215
11109,11109,Queens,7388,198773.0,2977.924260242369,0.564000806864085
11430,11430,Queens,448,,30596.947865538034,5.794876489685234
10271,10271,Manhattan,0,,6559.495053156733,1.2423286085524115
10461,10461,Bronx,50900,65023.0,32371.415879608365,6.130949977198554
