zip_code,boroname,total_population,median_household_income,median_household_income_filled,nearest_tj_distance_miles,subway_station_count
10028,Manhattan,45679,168125.0,168125.0,1.231224872465291,2.0
11427,Queens,25124,92129.0,92129.0,5.4054330584996775,0.0
11697,Queens,4123,134844.0,134844.0,10.037850780295958,0.0
11004,Queens,14296,109865.0,109865.0,7.351747141053136,0.0
10282,Manhattan,5960,250001.0,250001.0,0.8361764128513721,0.0
10027,Manhattan,65068,64220.0,64220.0,0.5087890487678723,5.0
11432,Queens,63730,75395.0,75395.0,2.9441289120868634,3.0
10452,Bronx,76745,37854.0,37854.0,2.3692657988645935,5.0
10469,Bronx,69855,76018.0,76018.0,6.671916642264297,3.0
11225,Brooklyn,56544,85201.0,85201.0,2.5970647934798192,7.0
11207,Brooklyn,93445,55419.0,55419.0,3.38820376104299,12.0
11423,Queens,29105,80870.0,80870.0,4.217645525451378,0.0
10280,Manhattan,8668,206250.0,206250.0,1.2648835305446895,0.0
10465,Bronx,46457,90255.0,90255.0,6.637465934282577,0.0
11201,Brooklyn,69251,169285.0,169285.0,0.3689244139677448,12.0
10009,Manhattan,58341,87963.0,87963.0,0.312854244130481,1.0
11358,Queens,36496,88729.0,88729.0,3.755263637896678,0.0
10455,Bronx,42940,36701.0,36701.0,2.0212190253870963,5.0
10310,Staten Island,25824,106118.0,106118.0,3.933865294951174,0.0
10177,Manhattan,0,,86543.0,0.7903342629908777,0.0
10154,Manhattan,0,,86543.0,0.5994153961971781,0.0
11360,Queens,19510,100250.0,100250.0,5.290021118089993,0.0
11439,Queens,2171,,86543.0,2.8102350120558572,0.0
11366,Queens,12967,117402.0,117402.0,3.599086689447214,0.0
10308,Staten Island,29996,122654.0,122654.0,2.656871685961475,1.0
11424,Queens,0,,86543.0,1.2097952399412704,0.0
11210,Brooklyn,60398,83261.0,83261.0,4.895690039735215,2.0
11109,Queens,7388,198773.0,198773.0,0.564000806864085,0.0
11430,Queens,448,,86543.0,5.794876489685234,0.0
10271,Manhattan,0,,86543.0,1.2423286085524115,0.0
10461,Bronx,50900,65023.0,65023.0,6.130949977198554,4.0
10457,Bronx,79375,44911.0,44911.0,3.620240662883546,3.0
11238,Brooklyn,58462,132957.0,132957.0,1.774699152156733,7.0
11216,Brooklyn,59913,95000.0,95000.0,1.989875505852164,2.0
11373,Queens,99433,71470.0,71470.0,1.9543927242052601,3.0
10463,Bronx,69373,72952.0,72952.0,6.066290862357018,3.0
11378,Queens,37828,84762.0,84762.0,2.3797059004731507,0.0
