store_name,address,borough,zip_code
72nd & Broadway (542),2073 Broadway,Manhattan,10023
Chelsea (543),675 6th Ave,Manhattan,10010
East Village (546),436 East 14th St,Manhattan,10009
Essex Crossing (538),400 Grand St. (Cellar),Manhattan,10002
Harlem (576),123 W 125th St,Manhattan,10027
New York - Murray Hill (544),200 E 32nd St,Manhattan,10016
SoHo (539),233 Spring Street,Manhattan,10013
Union Square (540),142 E 14th St,Manhattan,10003
Upper East Side - Bridgemarket (571),405 E. 59th Street,Manhattan,10022
Upper West Side (545),670 Columbus Ave,Manhattan,10025
Brooklyn - City Point (547),445 Gold St,Brooklyn,11201
Brooklyn - Williamsburg (548),200 Kent Ave,Brooklyn,11249
Brooklyn (558),130 Court St,Brooklyn,11201
Forest Hills (578),69-65 Yellowstone Blvd,Queens,11375
Long Island City (565),22-43 Jackson Ave,Queens,11101
Rego Park (557),9030 Metropolitan Ave,Queens,11374
Staten Island - South Shore (580),6400 Amboy Rd,Staten Island,10309
Staten Island (559),2385 Richmond Ave,Staten Island,10314
