store_name,address,borough,zip_code,is_public_store,
Upper East Side,1551 3rd Ave,Manhattan,10128,1,
Lenox Hill,1175 3rd Ave,Manhattan,10065,1,
Midtown East,226 E 57th St,Manhattan,10022,1,
Bryant Park,1095 6th Ave,Manhattan,10036,1,
Bowery,95 E Houston St,Manhattan,10002,1,
Union Square,4 Union Square S,Manhattan,10003,1,
Tribeca,270 Greenwich St,Manhattan,10007,1,
Columbus Circle,10 Columbus Cir Ste Sc101,Manhattan,10019,1,
Upper West Side,808 Columbus Ave,Manhattan,10025,1,
NoMad,63 Madison Ave,Manhattan,10016,1,
Harlem,100 W 125th St,Manhattan,10027,1,
Brooklyn Third and 3rd,214 3rd St,Brooklyn,11215,1,
Fort Greene,292 Ashland Pl,Brooklyn,11217,1,
Williamsburg,238 Bedford Ave,Brooklyn,11249,1,
Grand Street,774 Grand St,Brooklyn,11211,1,
