name,total_population,median_household_income,zip_code
ZCTA5 00601,16721,18571.0,00601
ZCTA5 00602,37510,21702.0,00602
ZCTA5 00603,48317,19243.0,00603
ZCTA5 00606,5435,20226.0,00606
ZCTA5 00610,25413,23732.0,00610
ZCTA5 00611,1522,22566.0,00611
ZCTA5 00612,62462,23831.0,00612
ZCTA5 00616,9836,21391.0,00616
ZCTA5 00617,22699,22010.0,00617
ZCTA5 00622,7950,26682.0,00622
ZCTA5 00623,39005,25614.0,00623
ZCTA5 00624,21374,21091.0,00624
ZCTA5 00627,32753,26094.0,00627
ZCTA5 00631,1357,18295.0,00631
ZCTA5 00636,1071,,00636
ZCTA5 00637,22884,20665.0,00637
ZCTA5 00638,17410,20878.0,00638
ZCTA5 00641,23962,17839.0,00641
ZCTA5 00646,36099,33184.0,00646
ZCTA5 00647,4611,20357.0,00647
ZCTA5 00650,13457,19811.0,00650
ZCTA5 00652,4492,31653.0,00652
ZCTA5 00653,8665,15225.0,00653
ZCTA5 00656,17815,21511.0,00656
ZCTA5 00659,37203,27297.0,00659
ZCTA5 00660,15439,24829.0,00660
ZCTA5 00662,40705,20673.0,00662
ZCTA5 00664,14816,18065.0,00664
ZCTA5 00667,23116,18729.0,00667
ZCTA5 00669,27534,19198.0,00669
ZCTA5 00670,8553,16278.0,00670
ZCTA5 00674,39288,20039.0,00674
ZCTA5 00676,36836,21230.0,00676
ZCTA5 00677,15432,24746.0,00677
ZCTA5 00678,24848,22994.0,00678
ZCTA5 00680,42817,17857.0,00680
ZCTA5 00682,29939,18067.0,00682
ZCTA5 00683,29431,18231.0,00683
ZCTA5 00685,40323,17909.0,00685
ZCTA5 00687,28534,23010.0,00687
ZCTA5 00688,10985,18014.0,00688
ZCTA5 00690,6275,24386.0,00690
ZCTA5 00692,32717,25486.0,00692
ZCTA5 00693,55725,24072.0,00693
ZCTA5 00694,125,15938.0,00694
ZCTA5 00698,32945,21921.0,00698
ZCTA5 00703,24642,22147.0,00703
ZCTA5 00704,6433,23330.0,00704
ZCTA5 00705,24475,21806.0,00705
ZCTA5 00707,10400,19173.0,00707
ZCTA5 00714,15573,18931.0,00714
ZCTA5 00715,2003,15743.0,00715
ZCTA5 00716,27705,19522.0,00716
ZCTA5 00717,14651,13282.0,00717
ZCTA5 00718,23174,21481.0,00718
ZCTA5 00719,29732,21089.0,00719
ZCTA5 00720,20974,19049.0,00720
ZCTA5 00723,15835,23599.0,00723
ZCTA5 00725,76246,27505.0,00725
ZCTA5 00727,53412,33403.0,00727
ZCTA5 00728,37322,20351.0,00728
ZCTA5 00729,47653,28765.0,00729
ZCTA5 00730,31976,18077.0,00730
ZCTA5 00731,10221,16917.0,00731
ZCTA5 00735,11159,23009.0,00735
ZCTA5 00736,45528,28652.0,00736
ZCTA5 00738,29797,25365.0,00738
ZCTA5 00739,34595,26801.0,00739
ZCTA5 00740,1959,23173.0,00740
ZCTA5 00741,3733,25827.0,00741
ZCTA5 00745,47077,26980.0,00745
ZCTA5 00751,19596,20947.0,00751
