rank,zip_code,boroname,population_density,income_percentile,nearest_tj_distance_miles,subway_station_count,nearest_competitor_miles,competitor_count_1mi,avg_asking_rent_psf
1,10028,Manhattan,144778.293,0.942,1.231,2.0,0.225,2,259
2,10128,Manhattan,130083.87,0.893,1.19,2.0,0.19,1,297
3,11215,Brooklyn,32071.913,0.956,1.886,7.0,0.855,1,141
4,11226,Brooklyn,76785.42,0.34,3.528,7.0,2.59,0,105
5,10036,Manhattan,68396.194,0.694,1.233,4.0,0.47,2,583
6,11238,Brooklyn,30184.51,0.859,1.775,7.0,1.207,0,105
7,11218,Brooklyn,52361.235,0.66,3.316,3.0,2.285,0,104
8,11225,Brooklyn,64633.901,0.393,2.597,7.0,2.006,0,105
9,11211,Brooklyn,43923.216,0.733,1.062,6.0,0.277,2,250
10,11209,Brooklyn,33481.007,0.641,5.067,3.0,4.259,0,90
